count,shelfId,bookCount
544,cku776a7z433220nl7a0lobrc2s,6
545,cks9poly2107631evrjv3zc73a,2
546,ckuvvm8qy334401477a9b91ncz0,5
547,ckryb1z0u60319817981hpwkxcc,8
548,ckum2th1i3158262j7aa4txzz7w,17
549,cksukclor1413rs8ga4owf8m6,20
550,ckszqp87432318313xj8vxl2kij,32
551,cktygznti327332yz7a0ojux0rb,19
552,ckv74f9wl274565xt8bay4zizem,4
553,ckt0kfp0731447515vm414oxbaz,1
554,ckst88s472477411y8zynohyy2y,9
555,cksu7173119557m8gc04lxk8t,37
556,cku1musby6299361evtzvmi1ken,8
557,ckt0528mz350389bt7o1fx150q2,17
558,ckv8d08ia1749314c8bd9wjp7bh,4
559,cktzzq0pk632903yz7awhor4all,3
560,cku76zw4i423140nl7a6uaghac6,1
561,cks4vjl4d2161211gtpj1mkxfqa,5
562,ckuziqpig51696268bnqwkicvz,142
563,ckv89lmve1028131fwbq7ukvvbh,68
564,ckt4p45ug5526314t3wud8cpyk,2
565,cktn0xr0i344564yz7alwuy0j0r,1
566,ckv792bnp74389214w43nh4h6k7,8
567,ckuj0lkih628211987adhn9bivj,49
568,ckv6qtw61251188vs8bp2xa8k4v,1
569,ckst9fziw5247331y8zd1qrlb0f,1
570,ckt46wtcj66069kf7aq5yk1jw8,7
571,cksjdqcud654521ewin3o76owp,1
572,cksl0z28y1269190q298qd73ebco,59
573,cku0gk3dv1644959yz7a2uhiz9k8,1
574,cku77ozsj458291nl7ar76wpdze,1
